Progress,Duration (in seconds),Finished,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,298,TRUE,,,60,,0,100,20,0,10,,20,,0,,100,90,100,0,,39,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 6,,,pay the money from his own wallet,,lie that her house burnt down,collect wood to start a fire,go without Ted,make cat noises at him until he leaves,take a detour at the next exit,,check that the doors are locked,,blame it on the maid of honor,,request supplies to be airdropped,give Todd her water,ask a friend to take over,finish the race
100,306,TRUE,98,98,,98,99,8,,,,1,4,4,,100,0,90,,8,,70,Male,White / Caucasian,,College Graduate (4 year),Rung 5,switch insurance plans,call a taxi,,borrow someone's phone,quickly try to redo the assignment,steal all of the food and water,,,,yell in gibberish until she leaves,slash the tires,pretend the knife is part of a hip replacement,,check in on his father daily,throw disobedient passengers off the boat,hike until she finds cell service,,steal his dogs for extra speed
100,335,TRUE,88,,0,91,,0,50,,0,,,0,100,0,0,,100,10,,36,Male,White / Caucasian,,High School or equivalent,Rung 3,start a fundraiser,,overcharge the next customers,borrow someone's phone,,boost morale with a three-legged race,try to buy a ticket off another person,,honk at the driver until they pull over,,,threaten security with the knife,tell his sister as soon as possible,pitch his situation to a reality TV network,throw disobedient passengers off the boat,,lock up the store,finish the race
100,243,TRUE,51,0,100,,,,0,51,50,,100,0,,,0,71,62,100,,25,Female,White / Caucasian,,College Graduate (4 year),Rung 6,go on strike for better wages,try to convince a passing driver to trade cars,explain the situation to his boss,,,,teleport into the concert,ask the parents if they know him,take a detour at the next exit,,call emergency services,pretend the knife is part of a hip replacement,,,sell all the food to the highest bidder,leave Todd to save herself,lock up the store,call for help
100,307,TRUE,91,50,97,1,93,72,,,,11,,2,,4,100,42,,4,,51,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 3,search for the medication on the black market,demand that the airline delays the flight,get an advance payday loan,crawl past the front desk,quickly try to redo the assignment,search for a water source,,,,yell in gibberish until she leaves,,hide the knife in someone else's bag,,buy his father a tent,ration their food,leave Todd to save herself,,steal his dogs for extra speed
100,361,TRUE,,30,0,21,,,1,0,35,,0,,65,,97,92,60,20,,57,Female,Black / African American,,Some College,Rung 4,,call a taxi,sell one of his kidneys,renew her membership,,,steal someone else's ticket,tackle him and hold him down,take a detour at the next exit,,slash the tires,,borrow their mom’s wedding ring,,ration their food,give Todd her water,lock up the store,leave her dogs with him
100,349,TRUE,87,0,,,,,0,78,0,0,,0,0,,70,50,100,10,,29,Female,White / Caucasian,,Some College,Rung 5,start a fundraiser,steal a passing driver's car,,,,,give her ticket to Ted,wave to the parents,honk an angry message in Morse code,take her to his house but no further,,hide the knife in someone else's bag,blame it on the maid of honor,,ration their food,give Todd her water,call his lawyer,carry her competitor on her sled
100,275,TRUE,46,,36,,90,8,,64,,,40,45,96,51,,83,21,35,,24,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 2,switch insurance plans,,pay the money from his own wallet,,call her mom,throw away all of the food,,wave to the parents,,,pour water on the car to cool it,take a train instead,call the taxi company,check in on his father daily,,hike until she finds cell service,leave the store unattended,hide him in the snow
100,225,TRUE,100,85,0,,,0,,0,,93,100,,,89,100,0,0,97,,35,Female,White / Caucasian,,College Graduate (4 year),Rung 1 (Bottom Rung),take out a loan,take a public bus,stage a robbery,,,steal all of the food and water,,tackle him and hold him down,,refuse to drive her,call emergency services,,,move into his father’s apartment,request supplies to be airdropped,leave Todd to save herself,stage a break-in at the store,leave her dogs with him
100,185,TRUE,65,0,30,0,0,,,0,,,0,61,100,,0,,100,82,,28,Male,White / Caucasian,,College Graduate (4 year),Rung 8,switch insurance plans,steal a passing driver's car,get an advance payday loan,lie that she left her card inside,copy a friend's assignment,,,tackle him and hold him down,,,slash the tires,store the knife in an airport locker,tell his sister as soon as possible,,serve engine fuel to the passengers,,call his lawyer,carry her competitor on her sled
100,348,TRUE,,89,5,91,,49,41,76,66,,30,,96,,4,,9,85,,55,Male,White / Caucasian,,Master's Degree (MS),Rung 7,,reschedule for a later flight,sell one of his kidneys,borrow someone's phone,,boost morale with a three-legged race,go without Ted,keep an eye on him,take a detour at the next exit,,call emergency services,,tell his sister as soon as possible,,throw disobedient passengers off the boat,,tell his lawyer that he’s sick,call for help
100,282,TRUE,60,0,,10,,40,0,10,0,0,100,,,,90,,0,20,,37,Male,White / Caucasian,,High School or equivalent,Rung 4,take out a loan,steal a passing driver's car,,lie that she left her card inside,,boost morale with a three-legged race,steal someone else's ticket,make cat noises at him until he leaves,honk an angry message in Morse code,turn invisible,call emergency services,,,,ration their food,,tell his lawyer that he’s sick,call for help
100,315,TRUE,67,0,,,0,15,77,,33,25,13,,100,84,100,,26,,,41,Female,White / Caucasian,,Master's Degree (MS),Rung 7,start a fundraiser,steal a passing driver's car,,,lie that her house burnt down,steal all of the food and water,try to buy a ticket off another person,,take a detour at the next exit,take her to his house but no further,slash the tires,,call the taxi company,move into his father’s apartment,ration their food,,ask a friend to take over,
100,144,TRUE,0,,0,71,0,,80,0,89,83,,99,,31,0,,,97,,25,Female,White / Caucasian,,Some College,Rung 3,commit credit card fraud,,stage a robbery,lie that she left her card inside,lie that her house burnt down,,teleport into the concert,read his mind,honk at the driver until they pull over,call her a cab,,store the knife in an airport locker,,move into his father’s apartment,serve engine fuel to the passengers,,,carry her competitor on her sled
100,284,TRUE,,0,94,88,,,,0,0,74,0,87,,93,100,90,,55,,29,Male,White / Caucasian,,Master's Degree (MS),Rung 4,,steal a passing driver's car,explain the situation to his boss,pay for a day-pass to the gym,,,,make cat noises at him until he leaves,ram into the car,refuse to drive her,light a fire under the car,store the knife in an airport locker,,get another job,request supplies to be airdropped,hike until she finds cell service,,finish the race
100,296,TRUE,0,80,,0,100,100,0,0,,,,0,0,100,,,50,0,,42,Male,White / Caucasian,,College Graduate (4 year),Rung 7,commit credit card fraud,reschedule for a later flight,,crawl past the front desk,bring in the assignment the next day,collect wood to start a fire,pretend they are conjoined twins,ask the parents if they know him,,,,pretend the knife is part of a hip replacement,run away,get another job,,,leave the store unattended,carry her competitor on her sled
100,255,TRUE,0,0,0,0,0,,0,,0,,0,,,0,0,0,0,,,37,Female,White / Caucasian,,College Graduate (4 year),Rung 5,search for the medication on the black market,try to convince a passing driver to trade cars,overcharge the next customers,pull the fire alarm,quickly try to redo the assignment,,steal someone else's ticket,,tailgate the car,,call emergency services,,,buy his father a tent,organize a fishing crew,yell at Todd for getting stuck,stage a break-in at the store,
100,241,TRUE,81,,0,83,92,,17,,59,,0,0,100,9,0,,100,,,31,Female,Black / African American,,Master's Degree (MS),Rung 4,go on strike for better wages,,sell one of his kidneys,pay for a day-pass to the gym,bring in the assignment the next day,,steal someone else's ticket,,honk at the driver until they pull over,,light a fire under the car,take a train instead,call the taxi company,buy his father a tent,throw disobedient passengers off the boat,,call his lawyer,
100,289,TRUE,,,0,0,0,20,,,,0,0,10,0,0,,0,0,0,,58,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,,get an advance payday loan,crawl past the front desk,lie that her house burnt down,steal all of the food and water,,,,steal whatever she has on her,pour water on the car to cool it,store the knife in an airport locker,steal someone else’s ring,pitch his situation to a reality TV network,,yell at Todd for getting stuck,tell his lawyer that he’s sick,leave her dogs with him
100,288,TRUE,53,9,,86,,1,,97,,13,32,,18,90,96,,98,94,,27,Male,Hispanic / Latino,,High School or equivalent,Rung 4,commit credit card fraud,try to convince a passing driver to trade cars,,pay for a day-pass to the gym,,throw away all of the food,,ask the parents if they know him,,yell in gibberish until she leaves,ask to use the mall's loudspeaker,,blame it on the maid of honor,check in on his father daily,organize a fishing crew,,lock up the store,call for help
100,382,TRUE,90,0,0,,5,,100,,0,,100,90,,60,2,100,20,,,26,Male,Asian / Pacific Islander,,Some College,Rung 3,commit credit card fraud,try to convince a passing driver to trade cars,stage a robbery,,lie that her house burnt down,,try to buy a ticket off another person,,ram into the car,,check that the doors are locked,store the knife in an airport locker,,buy his father a tent,serve engine fuel to the passengers,give Todd her water,call his lawyer,
100,281,TRUE,93,,,,100,41,90,96,81,60,,,,92,0,1,0,0,,74,Male,White / Caucasian,,Some College,Rung 6,search for the medication on the black market,,,,call her mom,boost morale with a three-legged race,go without Ted,keep an eye on him,ram into the car,refuse to drive her,,,,pitch his situation to a reality TV network,sell all the food to the highest bidder,get her arm stuck in solidarity,leave the store unattended,steal his dogs for extra speed
100,278,TRUE,100,1,1,,,0,100,90,100,,90,96,,,1,30,92,,,49,Male,Hispanic / Latino,,College Graduate (4 year),Rung 5,go on strike for better wages,steal a passing driver's car,stage a robbery,,,throw away all of the food,try to buy a ticket off another person,keep an eye on him,honk at the driver until they pull over,,pour water on the car to cool it,take a train instead,,,sell all the food to the highest bidder,leave Todd to save herself,call his lawyer,
100,347,TRUE,,50,0,0,,85,0,100,,,94,100,,0,92,,0,95,,65,Female,White / Caucasian,,Some College,Rung 6,,reschedule for a later flight,overcharge the next customers,pull the fire alarm,,search for a water source,pretend they are conjoined twins,keep an eye on him,,,pour water on the car to cool it,ask to check the knife,,buy his father a tent,request supplies to be airdropped,,stage a break-in at the store,carry her competitor on her sled
100,303,TRUE,,51,39,100,0,,100,49,100,0,,,0,100,0,,,70,,37,Male,Hispanic / Latino,,Some College,Rung 3,,try to convince a passing driver to trade cars,get an advance payday loan,borrow someone's phone,hypnotize the teacher,,try to buy a ticket off another person,tackle him and hold him down,pull over and call 911,turn invisible,,,run away,move into his father’s apartment,sell all the food to the highest bidder,,,finish the race
100,312,TRUE,80,45,0,31,,0,,,0,,0,0,,56,70,,83,70,,29,Male,Asian / Pacific Islander,,High School or equivalent,Rung 2,take out a loan,reschedule for a later flight,sell one of his kidneys,renew her membership,,throw away all of the food,,,ram into the car,,slash the tires,hide the knife in someone else's bag,,get another job,ration their food,,ask a friend to take over,carry her competitor on her sled
100,366,TRUE,100,0,0,100,0,100,0,,,,0,0,,100,,0,,0,,27,Male,Black / African American,,High School or equivalent,Rung 4,switch insurance plans,steal a passing driver's car,pay the money from his own wallet,renew her membership,lie that her house burnt down,huddle to conserve energy,go without Ted,,,,check that the doors are locked,pretend the knife is part of a hip replacement,,pitch his situation to a reality TV network,,yell at Todd for getting stuck,,carry her competitor on her sled
100,329,TRUE,,49,,94,90,,,93,,0,85,0,92,,0,0,12,21,,25,Male,White / Caucasian,,College Graduate (4 year),Rung 3,,take a public bus,,renew her membership,call her mom,,,wave to the parents,,steal whatever she has on her,call emergency services,take a train instead,blame it on the maid of honor,,serve engine fuel to the passengers,saw Todd’s arm off,ask a friend to take over,steal his dogs for extra speed
100,336,TRUE,,,19,98,100,70,,0,100,61,,71,100,,100,,100,81,,32,Male,White / Caucasian,,Some College,Rung 5,,,pay the money from his own wallet,borrow someone's phone,bring in the assignment the next day,huddle to conserve energy,,read his mind,honk an angry message in Morse code,call her a cab,,hide the knife in someone else's bag,steal someone else’s ring,,ration their food,,tell his lawyer that he’s sick,leave her dogs with him
100,352,TRUE,64,,0,100,0,0,,,,0,100,50,,0,0,0,,0,,34,Male,Black / African American,,Some College,Rung 1 (Bottom Rung),start a fundraiser,,sell one of his kidneys,borrow someone's phone,hypnotize the teacher,steal all of the food and water,,,,steal whatever she has on her,call emergency services,take a train instead,,buy his father a tent,serve engine fuel to the passengers,yell at Todd for getting stuck,,carry her competitor on her sled
100,234,TRUE,90,90,,0,0,,0,,,0,,,100,82,0,30,0,1,,40,Male,White / Caucasian,,College Graduate (4 year),Rung 6,search for the medication on the black market,call a taxi,,lie that she left her card inside,hypnotize the teacher,,steal someone else's ticket,,,turn invisible,,,tell his sister as soon as possible,move into his father’s apartment,serve engine fuel to the passengers,saw Todd’s arm off,tell his lawyer that he’s sick,leave her dogs with him
100,364,TRUE,82,78,,72,83,,,0,1,0,0,0,0,,,39,24,,,64,Male,White / Caucasian,,College Graduate (4 year),Rung 6,start a fundraiser,take a public bus,,pay for a day-pass to the gym,call her mom,,,read his mind,tailgate the car,refuse to drive her,light a fire under the car,hide the knife in someone else's bag,blame it on the maid of honor,,,leave Todd to save herself,lock up the store,
100,305,TRUE,60,,,70,0,81,0,,5,5,,,100,30,40,60,,85,,36,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 4,take out a loan,,,renew her membership,hypnotize the teacher,search for a water source,give her ticket to Ted,,honk at the driver until they pull over,take her to his house but no further,,,tell his sister as soon as possible,move into his father’s apartment,organize a fishing crew,hike until she finds cell service,,call for help
100,372,TRUE,,,,,75,,30,10,10,50,0,35,100,,0,0,68,0,,47,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 5,,,,,call her mom,,pretend they are conjoined twins,read his mind,tailgate the car,call her a cab,check that the doors are locked,pretend the knife is part of a hip replacement,call the taxi company,,sell all the food to the highest bidder,get her arm stuck in solidarity,ask a friend to take over,leave her dogs with him
100,397,TRUE,,0,0,0,0,,,0,0,0,0,,,0,,100,100,0,,34,Male,Black / African American,,High School or equivalent,Rung 5,,take a public bus,pay the money from his own wallet,pull the fire alarm,hypnotize the teacher,,,wave to the parents,honk an angry message in Morse code,steal whatever she has on her,ask to use the mall's loudspeaker,,,abandon his father,,saw Todd’s arm off,leave the store unattended,finish the race
100,295,TRUE,100,0,,100,9,100,100,100,,,99,100,,25,0,,0,,,32,Male,White / Caucasian,,High School or equivalent,Rung 3,search for the medication on the black market,demand that the airline delays the flight,,renew her membership,lie that her house burnt down,collect wood to start a fire,go without Ted,make cat noises at him until he leaves,,,pour water on the car to cool it,ask to check the knife,,pitch his situation to a reality TV network,organize a fishing crew,,stage a break-in at the store,
100,271,TRUE,72,100,,,0,100,53,100,0,83,,0,100,,,100,,0,,64,Female,White / Caucasian,,High School or equivalent,Rung 3,search for the medication on the black market,call a taxi,,,lie that her house burnt down,huddle to conserve energy,pretend they are conjoined twins,make cat noises at him until he leaves,honk an angry message in Morse code,call her a cab,,hide the knife in someone else's bag,borrow their mom’s wedding ring,,,saw Todd’s arm off,,hide him in the snow
100,371,TRUE,6,92,,31,4,,1,43,,0,,76,100,77,,60,86,,,61,Female,White / Caucasian,,Some College,Rung 2,go on strike for better wages,reschedule for a later flight,,crawl past the front desk,lie that her house burnt down,,pretend they are conjoined twins,tackle him and hold him down,,steal whatever she has on her,,take a train instead,call the taxi company,get another job,,leave Todd to save herself,lock up the store,
100,268,TRUE,,,71,80,,60,79,72,81,,65,60,71,91,,81,,80,,47,Male,Black / African American,,Master's Degree (MS),Rung 9,,,overcharge the next customers,pay for a day-pass to the gym,,throw away all of the food,give her ticket to Ted,read his mind,take a detour at the next exit,,check that the doors are locked,ask to check the knife,borrow their mom’s wedding ring,get another job,,saw Todd’s arm off,,carry her competitor on her sled
100,171,TRUE,,81,79,,,77,79,,,77,66,86,75,79,78,89,84,,,39,Female,Black / African American,,College Graduate (4 year),Rung 8,,steal a passing driver's car,get an advance payday loan,,,search for a water source,steal someone else's ticket,,,refuse to drive her,slash the tires,hide the knife in someone else's bag,borrow their mom’s wedding ring,pitch his situation to a reality TV network,throw disobedient passengers off the boat,leave Todd to save herself,lock up the store,
100,355,TRUE,95,15,0,0,70,,,60,,40,,0,100,,0,55,,20,,69,Male,White / Caucasian,,College Graduate (4 year),Rung 6,take out a loan,try to convince a passing driver to trade cars,sell one of his kidneys,pull the fire alarm,copy a friend's assignment,,,ask the parents if they know him,,refuse to drive her,,pretend the knife is part of a hip replacement,tell his sister as soon as possible,,throw disobedient passengers off the boat,hike until she finds cell service,,finish the race
100,283,TRUE,47,,1,0,,100,0,50,1,,0,24,100,,,,0,0,,28,Female,,,College Graduate (4 year),Rung 5,commit credit card fraud,,overcharge the next customers,pull the fire alarm,,collect wood to start a fire,steal someone else's ticket,ask the parents if they know him,honk an angry message in Morse code,,light a fire under the car,pretend the knife is part of a hip replacement,call the taxi company,,,,stage a break-in at the store,steal his dogs for extra speed
100,270,TRUE,,,0,0,,0,,,0,0,1,0,0,1,0,50,50,,,38,Male,White / Caucasian,,Master's Degree (MS),Rung 9,,,overcharge the next customers,crawl past the front desk,,huddle to conserve energy,,,pull over and call 911,call her a cab,check that the doors are locked,take a train instead,borrow their mom’s wedding ring,move into his father’s apartment,sell all the food to the highest bidder,hike until she finds cell service,lock up the store,
100,253,TRUE,80,72,37,,49,19,32,70,30,,,50,71,19,,60,,,,34,Male,Hispanic / Latino,,College Graduate (4 year),Rung 6,start a fundraiser,demand that the airline delays the flight,pay the money from his own wallet,,bring in the assignment the next day,search for a water source,steal someone else's ticket,wave to the parents,honk an angry message in Morse code,,,take a train instead,run away,move into his father’s apartment,,give Todd her water,,
100,381,TRUE,98,9,,84,81,,,1,,40,2,99,11,,67,83,,71,,57,Female,White / Caucasian,,Master's Degree (MS),Rung 4,switch insurance plans,try to convince a passing driver to trade cars,,lie that she left her card inside,quickly try to redo the assignment,,,make cat noises at him until he leaves,,call her a cab,slash the tires,store the knife in an airport locker,steal someone else’s ring,,organize a fishing crew,leave Todd to save herself,,leave her dogs with him
100,260,TRUE,85,0,86,70,50,,,0,0,0,,0,98,99,,,,96,,62,Female,White / Caucasian,,College Graduate (4 year),Rung 4,search for the medication on the black market,try to convince a passing driver to trade cars,pay the money from his own wallet,pay for a day-pass to the gym,bring in the assignment the next day,,,ask the parents if they know him,tailgate the car,turn invisible,,pretend the knife is part of a hip replacement,call the taxi company,check in on his father daily,,,,call for help
100,433,TRUE,0,0,100,,,0,85,0,95,,,0,0,80,80,,,100,,75,Female,White / Caucasian,,Master's Degree (MS),Rung 7,go on strike for better wages,steal a passing driver's car,explain the situation to his boss,,,steal all of the food and water,go without Ted,tackle him and hold him down,honk at the driver until they pull over,,,threaten security with the knife,run away,move into his father’s apartment,organize a fishing crew,,,call for help
100,405,TRUE,100,,0,,100,0,0,,71,0,,100,0,86,100,,,1,,37,Female,White / Caucasian,,High School or equivalent,Rung 3,switch insurance plans,,sell one of his kidneys,,call her mom,throw away all of the food,give her ticket to Ted,,pull over and call 911,yell in gibberish until she leaves,,store the knife in an airport locker,blame it on the maid of honor,get another job,ration their food,,,finish the race
100,164,TRUE,84,66,39,,31,,,74,29,54,84,77,,,,73,66,70,,30,Male,White / Caucasian,,College Graduate (4 year),Rung 5,commit credit card fraud,call a taxi,get an advance payday loan,,copy a friend's assignment,,,tackle him and hold him down,honk an angry message in Morse code,yell in gibberish until she leaves,check that the doors are locked,ask to check the knife,,,,give Todd her water,ask a friend to take over,carry her competitor on her sled
100,394,TRUE,0,1,0,0,0,,,0,,0,0,0,,,0,,0,0,,34,Male,White / Caucasian,,College Graduate (4 year),Rung 4,start a fundraiser,take a public bus,pay the money from his own wallet,lie that she left her card inside,hypnotize the teacher,,,keep an eye on him,,steal whatever she has on her,ask to use the mall's loudspeaker,threaten security with the knife,,,organize a fishing crew,,stage a break-in at the store,hide him in the snow
100,319,TRUE,,,69,69,,65,50,,58,47,61,57,,64,65,,69,57,,44,Male,Black / African American,,College Graduate (4 year),Rung 10 (Top Rung),,,explain the situation to his boss,pay for a day-pass to the gym,,huddle to conserve energy,go without Ted,,pull over and call 911,yell in gibberish until she leaves,pour water on the car to cool it,store the knife in an airport locker,,move into his father’s apartment,serve engine fuel to the passengers,,ask a friend to take over,hide him in the snow
100,217,TRUE,1,,0,,,87,95,,,0,1,7,0,51,0,0,0,,,32,Male,White / Caucasian,,Master's Degree (MS),Rung 6,go on strike for better wages,,get an advance payday loan,,,huddle to conserve energy,go without Ted,,,yell in gibberish until she leaves,check that the doors are locked,take a train instead,run away,get another job,serve engine fuel to the passengers,yell at Todd for getting stuck,stage a break-in at the store,
100,351,TRUE,,0,0,0,,,,14,0,17,3,0,,0,0,19,,0,,32,Male,White / Caucasian,,College Graduate (4 year),Rung 3,,try to convince a passing driver to trade cars,stage a robbery,crawl past the front desk,,,,ask the parents if they know him,ram into the car,call her a cab,pour water on the car to cool it,threaten security with the knife,,buy his father a tent,serve engine fuel to the passengers,give Todd her water,,leave her dogs with him
100,309,TRUE,,84,,,9,98,,53,1,18,,22,95,5,1,50,85,,,37,Male,White / Caucasian,,Some College,Rung 5,,reschedule for a later flight,,,copy a friend's assignment,collect wood to start a fire,,keep an eye on him,ram into the car,refuse to drive her,,pretend the knife is part of a hip replacement,tell his sister as soon as possible,buy his father a tent,serve engine fuel to the passengers,give Todd her water,leave the store unattended,
100,343,TRUE,,80,82,,93,,52,95,17,66,96,,21,11,,85,,84,,36,Female,White / Caucasian,,College Graduate (4 year),Rung 3,,steal a passing driver's car,explain the situation to his boss,,call her mom,,try to buy a ticket off another person,wave to the parents,pull over and call 911,refuse to drive her,call emergency services,,run away,buy his father a tent,,hike until she finds cell service,,finish the race
100,325,TRUE,2,20,,84,100,95,0,51,3,,,30,0,71,,10,,,,60,Male,White / Caucasian,,Some College,Rung 6,commit credit card fraud,try to convince a passing driver to trade cars,,renew her membership,call her mom,huddle to conserve energy,try to buy a ticket off another person,tackle him and hold him down,tailgate the car,,,take a train instead,steal someone else’s ring,get another job,,saw Todd’s arm off,,
100,460,TRUE,,,0,0,1,57,79,,,0,0,,,8,21,72,65,1,,34,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,,sell one of his kidneys,lie that she left her card inside,copy a friend's assignment,huddle to conserve energy,try to buy a ticket off another person,,,yell in gibberish until she leaves,pour water on the car to cool it,,,buy his father a tent,sell all the food to the highest bidder,hike until she finds cell service,leave the store unattended,steal his dogs for extra speed
100,361,TRUE,40,,0,56,0,68,,4,,0,,97,0,0,,52,,1,,48,Female,White / Caucasian,,Some College,Rung 6,go on strike for better wages,,sell one of his kidneys,renew her membership,copy a friend's assignment,huddle to conserve energy,,tackle him and hold him down,,take her to his house but no further,,store the knife in an airport locker,steal someone else’s ring,buy his father a tent,,leave Todd to save herself,,leave her dogs with him
100,423,TRUE,60,80,0,60,100,10,,30,0,,0,,0,,,50,0,,,62,Male,White / Caucasian,,Master's Degree (MS),Rung 7,start a fundraiser,reschedule for a later flight,overcharge the next customers,pay for a day-pass to the gym,bring in the assignment the next day,boost morale with a three-legged race,,ask the parents if they know him,tailgate the car,,slash the tires,,steal someone else’s ring,,,give Todd her water,tell his lawyer that he’s sick,
100,406,TRUE,50,,71,10,,100,0,0,87,,,50,10,,91,20,,9,,40,Male,White / Caucasian,,College Graduate (4 year),Rung 7,switch insurance plans,,explain the situation to his boss,pull the fire alarm,,collect wood to start a fire,teleport into the concert,read his mind,pull over and call 911,,,ask to check the knife,run away,,ration their food,leave Todd to save herself,,steal his dogs for extra speed
100,368,TRUE,0,,,,60,90,0,0,,0,5,0,0,50,,,0,97,,59,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 6,commit credit card fraud,,,,quickly try to redo the assignment,collect wood to start a fire,give her ticket to Ted,keep an eye on him,,refuse to drive her,ask to use the mall's loudspeaker,hide the knife in someone else's bag,run away,get another job,,,ask a friend to take over,call for help
100,473,TRUE,,18,20,100,1,80,,50,,0,,90,100,92,,,66,100,,38,Female,White / Caucasian,,Some College,Rung 5,,try to convince a passing driver to trade cars,pay the money from his own wallet,pay for a day-pass to the gym,copy a friend's assignment,huddle to conserve energy,,keep an eye on him,,steal whatever she has on her,,take a train instead,call the taxi company,check in on his father daily,,,lock up the store,carry her competitor on her sled
100,363,TRUE,40,0,,0,,60,0,,0,0,0,0,60,,20,,,35,,31,Male,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 7,start a fundraiser,demand that the airline delays the flight,,lie that she left her card inside,,search for a water source,teleport into the concert,,tailgate the car,refuse to drive her,pour water on the car to cool it,pretend the knife is part of a hip replacement,tell his sister as soon as possible,,organize a fishing crew,,,call for help
100,382,TRUE,,,0,30,0,75,,0,80,0,,,80,0,3,50,,20,,35,Male,White / Caucasian,,High School or equivalent,Rung 6,,,sell one of his kidneys,crawl past the front desk,hypnotize the teacher,search for a water source,,read his mind,take a detour at the next exit,turn invisible,,,borrow their mom’s wedding ring,abandon his father,sell all the food to the highest bidder,give Todd her water,,carry her competitor on her sled
100,355,TRUE,15,0,75,,0,90,25,0,15,,,,20,0,,10,0,,,44,Female,White / Caucasian,,Master's Degree (MS),Rung 7,commit credit card fraud,try to convince a passing driver to trade cars,pay the money from his own wallet,,copy a friend's assignment,collect wood to start a fire,try to buy a ticket off another person,make cat noises at him until he leaves,pull over and call 911,,,,steal someone else’s ring,buy his father a tent,,saw Todd’s arm off,stage a break-in at the store,
100,358,TRUE,40,,45,95,,5,,10,9,60,,80,,,30,10,76,60,,37,Female,White / Caucasian,,College Graduate (4 year),Rung 4,go on strike for better wages,,pay the money from his own wallet,renew her membership,,steal all of the food and water,,make cat noises at him until he leaves,honk at the driver until they pull over,call her a cab,,store the knife in an airport locker,,,request supplies to be airdropped,leave Todd to save herself,leave the store unattended,leave her dogs with him
100,306,TRUE,100,,0,0,,78,1,,1,0,83,,,0,99,0,100,,,64,Female,White / Caucasian,,College Graduate (4 year),Rung 2,switch insurance plans,,sell one of his kidneys,pull the fire alarm,,huddle to conserve energy,try to buy a ticket off another person,,ram into the car,yell in gibberish until she leaves,call emergency services,,,abandon his father,organize a fishing crew,get her arm stuck in solidarity,call his lawyer,
100,350,TRUE,0,0,,,100,,100,100,0,0,,0,0,50,,0,,0,,58,Female,White / Caucasian,,Some College,Rung 4,go on strike for better wages,call a taxi,,,quickly try to redo the assignment,,go without Ted,wave to the parents,ram into the car,steal whatever she has on her,,take a train instead,run away,get another job,,saw Todd’s arm off,,leave her dogs with him
100,424,TRUE,81,51,,,50,100,0,,0,0,,82,100,0,,0,50,,,75,Male,White / Caucasian,,Some College,Rung 6,take out a loan,call a taxi,,,quickly try to redo the assignment,collect wood to start a fire,teleport into the concert,,ram into the car,yell in gibberish until she leaves,,store the knife in an airport locker,tell his sister as soon as possible,buy his father a tent,,saw Todd’s arm off,tell his lawyer that he’s sick,
100,458,TRUE,,10,50,,,90,50,80,75,,0,100,,75,30,,50,81,,44,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,steal a passing driver's car,pay the money from his own wallet,,,collect wood to start a fire,teleport into the concert,keep an eye on him,pull over and call 911,,light a fire under the car,ask to check the knife,,check in on his father daily,sell all the food to the highest bidder,,leave the store unattended,call for help
100,262,TRUE,6,6,99,88,94,4,,54,40,,,,95,,,47,7,10,,69,Male,White / Caucasian,,Master's Degree (MS),Rung 5,commit credit card fraud,steal a passing driver's car,explain the situation to his boss,pay for a day-pass to the gym,bring in the assignment the next day,steal all of the food and water,,make cat noises at him until he leaves,honk an angry message in Morse code,,,,call the taxi company,,,leave Todd to save herself,leave the store unattended,steal his dogs for extra speed
100,413,TRUE,70,,,,5,85,0,5,2,15,,80,5,,90,50,95,,,32,Male,White / Caucasian,,High School or equivalent,Rung 2,start a fundraiser,,,,hypnotize the teacher,collect wood to start a fire,pretend they are conjoined twins,make cat noises at him until he leaves,honk an angry message in Morse code,refuse to drive her,,take a train instead,blame it on the maid of honor,,ration their food,give Todd her water,lock up the store,
100,381,TRUE,0,100,100,,80,85,0,,0,,,0,50,,,99,100,100,,53,Female,White / Caucasian,,High School or equivalent,Rung 4,go on strike for better wages,reschedule for a later flight,explain the situation to his boss,,call her mom,collect wood to start a fire,pretend they are conjoined twins,,take a detour at the next exit,,,threaten security with the knife,borrow their mom’s wedding ring,,,hike until she finds cell service,call his lawyer,call for help
