Progress,Duration (in seconds),Finished,S1_4,S1_5,S1_6,S2_4,S2_5,S2_6,S3_4,S3_5,S3_6,S4_4,S4_5,S4_6,S5_4,S5_5,S5_6,S6_4,S6_5,S6_6,S7_4,S7_5,S7_6,S8_4,S8_5,S8_6,S9_4,S9_5,S9_6,S10_4,S10_5,S10_6,S11_4,S11_5,S11_6,S12_4,S12_5,S12_6,S13_4,S13_5,S13_6,S14_4,S14_5,S14_6,S15_4,S15_5,S15_6,S16_4,S16_5,S16_6,S17_4,S17_5,S17_6,S18_4,S18_5,S18_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A,S5-FR_5 - Parent Topics,S5-FR_5 - Sentiment Polarity,S5-FR_5 - Sentiment Score,S5-FR_5 - Sentiment,S5-FR_5 - Topic Sentiment Label,S5-FR_5 - Topic Sentiment Score,S5-FR_5 - Topics,FL_11_DO_FL_248,FL_11_DO_FL_265,FL_11_DO_FL_264,FL_11_DO_FL_263,FL_11_DO_FL_262,FL_11_DO_FL_261,FL_11_DO_FL_260,FL_11_DO_FL_259,FL_11_DO_FL_258,FL_11_DO_FL_257,FL_11_DO_FL_256,FL_11_DO_FL_255,FL_11_DO_FL_254,FL_11_DO_FL_253,FL_11_DO_FL_252,FL_11_DO_FL_251,FL_11_DO_FL_250,FL_11_DO_FL_249,FL_186_DO_FL_25,FL_186_DO_FL_27,FL_186_DO_FL_29,FL_186_DO_FL_31,FL_186_DO_FL_33,FL_186_DO_FL_35,FL_189_DO_FL_37,FL_189_DO_FL_39,FL_189_DO_FL_41,FL_189_DO_FL_44,FL_189_DO_FL_49,FL_189_DO_FL_51,FL_196_DO_FL_54,FL_196_DO_FL_56,FL_196_DO_FL_58,FL_196_DO_FL_60,FL_196_DO_FL_62,FL_196_DO_FL_64,FL_197_DO_FL_66,FL_197_DO_FL_68,FL_197_DO_FL_70,FL_197_DO_FL_72,FL_197_DO_FL_74,FL_197_DO_FL_76,FL_198_DO_FL_78,FL_198_DO_FL_80,FL_198_DO_FL_82,FL_198_DO_FL_84,FL_198_DO_FL_86,FL_198_DO_FL_88,FL_199_DO_FL_90,FL_199_DO_FL_92,FL_199_DO_FL_94,FL_199_DO_FL_96,FL_199_DO_FL_98,FL_199_DO_FL_100,FL_200_DO_FL_108,FL_200_DO_FL_110,FL_200_DO_FL_112,FL_200_DO_FL_114,FL_200_DO_FL_116,FL_200_DO_FL_118,FL_201_DO_FL_120,FL_201_DO_FL_123,FL_201_DO_FL_125,FL_201_DO_FL_127,FL_201_DO_FL_129,FL_201_DO_FL_131,FL_202_DO_FL_133,FL_202_DO_FL_137,FL_202_DO_FL_135,FL_202_DO_FL_139,FL_202_DO_FL_141,FL_202_DO_FL_143,FL_203_DO_FL_145,FL_203_DO_FL_147,FL_203_DO_FL_149,FL_203_DO_FL_151,FL_203_DO_FL_153,FL_203_DO_FL_155,FL_204_DO_FL_157,FL_204_DO_FL_161,FL_204_DO_FL_163,FL_204_DO_FL_165,FL_204_DO_FL_167,FL_204_DO_FL_169,FL_205_DO_FL_159,FL_205_DO_FL_171,FL_205_DO_FL_173,FL_205_DO_FL_175,FL_205_DO_FL_177,FL_205_DO_FL_179,FL_206_DO_FL_207,FL_206_DO_FL_208,FL_206_DO_FL_209,FL_206_DO_FL_210,FL_206_DO_FL_211,FL_206_DO_FL_212,FL_213_DO_FL_214,FL_213_DO_FL_215,FL_213_DO_FL_216,FL_213_DO_FL_217,FL_213_DO_FL_218,FL_213_DO_FL_219,FL_220_DO_FL_221,FL_220_DO_FL_222,FL_220_DO_FL_223,FL_220_DO_FL_224,FL_220_DO_FL_225,FL_220_DO_FL_226,FL_227_DO_FL_228,FL_227_DO_FL_229,FL_227_DO_FL_230,FL_227_DO_FL_231,FL_227_DO_FL_232,FL_227_DO_FL_233,FL_234_DO_FL_235,FL_234_DO_FL_236,FL_234_DO_FL_237,FL_234_DO_FL_238,FL_234_DO_FL_239,FL_234_DO_FL_240,FL_241_DO_FL_242,FL_241_DO_FL_243,FL_241_DO_FL_244,FL_241_DO_FL_245,FL_241_DO_FL_246,FL_241_DO_FL_247
100,131,TRUE,,,,0,0,15,0,0,0,,,,,,,,,,0,0,0,,,,0,43,0,3,10,10,,,,,,,2,0,0,,,,,,,,,,,,,,,,,39,Female,White / Caucasian,,Some College,Rung 6,,demanding that the airline delays the flight,staging a robbery,,,,teleporting into the concert,,honking an angry message in Morse code,yelling in gibberish until she leaves,,,stealing someone else’s ring,,,,,,,,,,,,,,1,4,,,,3,,5,2,,,6,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,120,TRUE,,,,90,100,100,3,0,0,,,,70,100,100,10,0,0,,,,,,,,,,,,,,,,15,0,0,9,10,9,,,,,,,,,,,,,,,,,34,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 5,,rescheduling for a later flight,staging a robbery,,quickly trying to redo the assignment,stealing all of the food and water,,,,,,hiding the knife in someone else's bag,borrowing their mom’s wedding ring,,,,,,,,,,,,,,4,3,,5,2,,,,,,1,6,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,108,TRUE,100,99,100,,,,0,0,0,,,,,,,,,,,,,,,,100,100,100,,,,,,,99,100,78,100,100,100,,,,21,1,1,,,,,,,,,,,35,Female,White / Caucasian,,College Graduate (4 year),Rung 4,taking out a loan,,selling one of his kidneys,,,,,,honking at the driver until they pull over,,,taking a train instead,calling the taxi company,,selling all the food to the highest bidder,,,,,,,,,,,4,,1,,,,,,5,,,6,2,,3,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
100,111,TRUE,,,,,,,,,,,,,,,,76,56,60,,,,,,,,,,78,40,65,,,,,,,,,,33,55,54,67,56,69,63,76,70,67,59,57,,,,,31,Male,White / Caucasian,,Some College,Rung 2,,,,,,searching for a water source,,,,yelling in gibberish until she leaves,,,,moving into his father’s apartment,requesting supplies to be airdropped,hiking until she finds cell service,telling his lawyer that he’s sick,,,,,,,,,,,,,,1,,,,4,,,,6,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,
100,116,TRUE,50,100,94,0,0,0,,,,,,,,,,100,100,100,,,,0,100,68,,,,100,80,100,,,,,,,,,,,,,,,,71,61,85,,,,,,,,37,Male,Asian / Pacific Islander,,Doctoral Degree (PhD),Rung 6,going on strike for better wages,stealing a passing driver's car,,,,huddling to conserve energy,,reading his mind,,turning invisible,,,,,,hiking until she finds cell service,,,,,,,,,,1,6,,,,2,,3,,4,,,,,,5,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
100,143,TRUE,,,,,,,,,,72,92,92,,,,,,,,,,25,35,25,,,,,,,,,,0,0,0,,,,9,92,41,,,,20,12,27,,,,18,0,0,,35,Female,White / Caucasian,,College Graduate (4 year),Rung 5,,,,renewing her membership,,,,tackling him and holding him down,,,,threatening security with the knife,,pitching his situation to a reality TV network,,leaving Todd to save herself,,stealing his dogs for extra speed,,,,,,,,,,,3,,,,6,,,,2,,1,,4,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,
100,117,TRUE,9,100,49,,,,100,100,100,,,,,,,,,,,,,,,,50,80,91,,,,,,,4,15,3,100,100,100,,,,,,,,,,,,,65,100,96,,34,Female,White / Caucasian,,High School or equivalent,Rung 4,going on strike for better wages,,explaining the situation to his boss,,,,,,taking a detour at the next exit,,,pretending the knife is part of a hip replacement,calling the taxi company,,,,,carrying her competitor on her sled,,,,,,,,3,,4,,,,,,2,,,6,1,,,,,5,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
100,133,TRUE,85,66,27,80,100,100,,,,,,,,,,,,,0,0,0,86,98,92,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,33,Female,White / Caucasian,,College Graduate (4 year),Rung 6,searching for the medication on the black market,taking a public bus,,,,,teleporting into the concert,keeping an eye on him,,turning invisible,,,,,,getting her arm stuck in solidarity,,,,,,,,,,2,1,,,,,5,6,,3,,,,,,4,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
100,97,TRUE,,,,,,,,,,,,,,,,64,46,65,,,,,,,,,,,,,96,58,59,82,76,72,,,,,,,,,,66,92,78,53,61,40,86,64,60,,35,Female,Asian / Pacific Islander,,Some College,Rung 6,,,,,,collecting wood to start a fire,,,,,pouring water on the car to cool it,taking a train instead,,,,hiking until she finds cell service,locking up the store,calling for help,,,,,,,,,,,,,1,,,,,3,4,,,,6,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,
100,161,TRUE,40,0,15,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,9,93,13,,,,19,0,0,,,,87,0,87,100,100,100,,,,,29,Male,Black / African American,,College Graduate (4 year),Rung 5,committing credit card fraud,,,crawling past the front desk,,,,,,,,storing the knife in an airport locker,,buying his father a tent,,yelling at Todd for getting stuck,calling his lawyer,,,,,,,,,2,,,4,,,,,,,,1,,6,,3,5,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,
100,157,TRUE,,,,,,,,,,,,,,,,,,,,,,75,100,100,10,2,2,30,70,70,61,80,80,,,,,,,,,,1,1,1,,,,,,,40,60,65,,32,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,,,,,,,asking the parents if they know him,ramming into the car,taking her to his house but no further,calling emergency services,,,,throwing disobedient passengers off the boat,,,finishing the race,,,,,,,,,,,,,,,1,3,4,5,,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,
100,147,TRUE,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,,,,,,,,50,100,100,100,100,100,,,,0,0,0,,,,,,,,,,0,0,0,,55,Female,,,College Graduate (4 year),Rung 6,,,,borrowing someone's phone,bringing in the assignment the next day,,,,,,pouring water on the car to cool it,asking to check the knife,,buying his father a tent,,,,finishing the race,,,,,,,,,,,4,1,,,,,,3,2,,6,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
100,154,TRUE,,,,3,0,0,,,,95,100,95,,,,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,0,0,0,,,,90,100,98,,35,Male,White / Caucasian,,Master's Degree (MS),Rung 6,,trying to convince a passing driver to trade cars,,renewing her membership,,throwing away all of the food,,,,,lighting a fire under the car,,,,,getting her arm stuck in solidarity,,calling for help,,,,,,,,,2,,1,,3,,,,,5,,,,,6,,4,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
100,179,TRUE,72,91,59,,,,33,52,80,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,8,9,7,63,62,69,19,25,21,,,,,36,Male,White / Caucasian,,Master's Degree (MS),Rung 5,starting a fundraiser,,paying the money from his own wallet,,,,,reading his mind,,,,,,,throwing disobedient passengers off the boat,sawing Todd’s arm off,asking a friend to take over,,,,,,,,,1,,3,,,,,4,,,,,,,5,2,6,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,
100,173,TRUE,,,,90,91,90,50,20,35,,,,35,24,25,50,4,15,,,,,,,,,,,,,,,,,,,50,90,90,,,,75,90,90,,,,,,,,,,,31,Male,White / Caucasian,,Doctoral Degree (PhD),Rung 7,,taking a public bus,overcharging the next customers,,copying a friend's assignment,stealing all of the food and water,,,,,,,telling his sister as soon as possible,,rationing their food,,,,,,,,,,,,6,3,,5,2,,,,,,,4,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
100,154,TRUE,94,100,61,80,100,70,,,,,,,,,,96,100,89,,,,,,,,,,40,18,52,,,,,,,,,,50,0,0,,,,,,,100,100,93,,,,,36,Male,White / Caucasian,,,Rung 2,taking out a loan,rescheduling for a later flight,,,,searching for a water source,,,,yelling in gibberish until she leaves,,,,abandoning his father,,,calling his lawyer,,,,,,,,,1,2,,,,6,,,,3,,,,5,,,4,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,
100,154,TRUE,,,,,,,,,,33,30,18,,,,,,,49,91,46,,,,,,,,,,92,100,100,,,,,,,6,5,5,0,0,0,,,,0,0,0,,,,,35,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,,,crawling past the front desk,,,giving her ticket to Ted,,,,calling emergency services,,,pitching his situation to a reality TV network,serving engine fuel to the passengers,,staging a break-in at the store,,,,,,,,,,,,3,,,2,,,,1,,,6,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,
100,122,TRUE,90,100,100,5,0,0,,,,,,,,,,10,10,0,,,,20,10,10,,,,,,,,,,0,0,0,70,10,0,,,,,,,,,,,,,,,,,30,Male,White / Caucasian,,College Graduate (4 year),Rung 6,switching insurance plans,demanding that the airline delays the flight,,,,boosting morale with a three-legged race,,tackling him and holding him down,,,,threatening security with the knife,running away,,,,,,,,,,,,,4,6,,,,3,,5,,,,2,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,179,TRUE,100,100,100,,,,,,,,,,,,,,,,80,100,100,70,100,100,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,70,70,70,,,,,30,Male,Asian / Pacific Islander,,High School or equivalent,Rung 4,switching insurance plans,,,,,,trying to buy a ticket off another person,waving to the parents,,,,pretending the knife is part of a hip replacement,,,serving engine fuel to the passengers,,leaving the store unattended,,,,,,,,,3,,,,,,6,1,,,,5,,,2,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
100,175,TRUE,,,,,,,,,,100,100,100,,,,,,,0,0,0,100,92,92,,,,0,0,0,100,100,100,,,,,,,,,,,,,,,,51,62,62,,,,,54,Female,White / Caucasian,,Some College,Rung 4,,,,paying for a day-pass to the gym,,,teleporting into the concert,keeping an eye on him,,stealing whatever she has on her,calling emergency services,,,,,,telling his lawyer that he’s sick,,,,,,,,,,,,4,,,5,2,,6,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
100,156,TRUE,,,,0,0,0,,,,70,100,80,,,,,,,30,12,5,8,36,23,,,,,,,40,91,26,,,,,,,,,,,,,100,100,100,,,,,,,,30,Female,White / Caucasian,,Master's Degree (MS),Rung 6,,demanding that the airline delays the flight,,renewing her membership,,,going without Ted,tackling him and holding him down,,,pouring water on the car to cool it,,,,,giving Todd her water,,,,,,,,,,,6,,4,,,1,2,,,3,,,,,5,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
100,167,TRUE,,,,50,23,16,50,80,80,,,,,,,50,82,82,,,,,,,50,70,70,,,,,,,49,19,19,50,100,100,,,,,,,,,,,,,,,,,37,Male,Hispanic / Latino,,College Graduate (4 year),Rung 4,,demanding that the airline delays the flight,getting an advance payday loan,,,searching for a water source,,,tailgating the car,,,pretending the knife is part of a hip replacement,telling his sister as soon as possible,,,,,,,,,,,,,,3,6,,,5,,,4,,,1,2,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,195,TRUE,,,,,,,,,,100,100,100,100,99,100,,,,0,0,0,,,,,,,,,,0,0,0,,,,,,,98,100,100,,,,,,,,,,0,51,0,,70,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 4,,,,paying for a day-pass to the gym,bringing in the assignment the next day,,pretending they are conjoined twins,,,,lighting a fire under the car,,,getting another job,,,,leaving her dogs with him,,,,,,,,,,,2,6,,4,,,,1,,,5,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
100,181,TRUE,80,90,60,5,0,2,,,,,,,,,,,,,20,80,10,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,75,65,20,91,100,90,,32,Male,White / Caucasian,,College Graduate (4 year),Rung 6,starting a fundraiser,stealing a passing driver's car,,,,,giving her ticket to Ted,keeping an eye on him,,,,,,,,,locking up the store,carrying her competitor on her sled,,,,,,,,2,6,,,,,5,4,,,,,,,,,1,3,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
100,174,TRUE,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,95,100,100,,,,,,,94,100,100,0,0,0,,,,,,,,,,,,,0,0,0,,52,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 5,,,selling one of his kidneys,,hypnotizing the teacher,,,,pulling over and calling 911,,,storing the knife in an airport locker,stealing someone else’s ring,,,,,hiding him in the snow,,,,,,,,,,4,,5,,,,2,,,3,6,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
100,177,TRUE,48,26,50,,,,,,,69,85,86,,,,,,,0,3,2,,,,,,,22,9,5,,,,,,,,,,61,5,39,,,,80,90,91,,,,,,,,66,Male,White / Caucasian,,Some College,Rung 3,committing credit card fraud,,,borrowing someone's phone,,,pretending they are conjoined twins,,,yelling in gibberish until she leaves,,,,abandoning his father,,hiking until she finds cell service,,,,,,,,,,5,,,6,,,1,,,4,,,,3,,2,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
100,142,TRUE,,,,0,0,0,,,,50,10,50,85,100,95,,,,,,,,,,,,,0,0,0,,,,,,,,,,80,95,90,,,,,,,10,10,3,,,,,33,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,stealing a passing driver's car,,lying that she left her card inside,calling her mom,,,,,turning invisible,,,,checking in on his father daily,,,asking a friend to take over,,,,,,,,,,3,,2,5,,,,,6,,,,4,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
100,157,TRUE,85,91,88,,,,,,,,,,,,,86,88,84,,,,,,,85,91,87,,,,85,92,89,86,89,88,,,,,,,,,,87,91,89,,,,,,,,47,Male,White / Caucasian,,College Graduate (4 year),Rung 8,searching for the medication on the black market,,,,,huddling to conserve energy,,,honking an angry message in Morse code,,calling emergency services,hiding the knife in someone else's bag,,,,leaving Todd to save herself,,,,,,,,,,3,,,,,1,,,6,,5,2,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
100,203,TRUE,50,50,50,,,,,,,100,100,100,,,,,,,,,,50,100,50,,,,,,,,,,,,,,,,100,100,100,,,,100,100,100,0,0,0,,,,,61,Female,White / Caucasian,,High School or equivalent,Rung 6,searching for the medication on the black market,,,borrowing someone's phone,,,,asking the parents if they know him,,,,,,getting another job,,hiking until she finds cell service,staging a break-in at the store,,,,,,,,,4,,,2,,,,5,,,,,,6,,3,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
100,195,TRUE,50,100,100,,,,,,,,,,100,100,100,100,100,100,,,,,,,65,90,100,91,100,100,,,,,,,0,0,0,,,,,,,,,,,,,,,,,55,Female,White / Caucasian,,Some College,Rung 3,switching insurance plans,,,,calling her mom,searching for a water source,,,honking at the driver until they pull over,calling her a cab,,,stealing someone else’s ring,,,,,,,,,,,,,3,,,,2,6,,,5,4,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,218,TRUE,,,,,,,,,,50,25,40,70,90,30,,,,0,60,5,,,,,,,,,,100,100,80,,,,,,,90,90,65,,,,,,,,,,85,100,85,,49,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,,,crawling past the front desk,quickly trying to redo the assignment,,teleporting into the concert,,,,checking that the doors are locked,,,moving into his father’s apartment,,,,calling for help,,,,,,,,,,,1,5,,2,,,,6,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
100,138,TRUE,,,,,,,,,,29,23,18,,,,,,,10,25,11,,,,,,,81,74,74,,,,,,,,,,79,90,79,,,,40,41,49,90,93,81,,,,,24,Female,Hispanic / Latino,,College Graduate (4 year),Rung 4,,,,pulling the fire alarm,,,pretending they are conjoined twins,,,refusing to drive her,,,,checking in on his father daily,,yelling at Todd for getting stuck,calling his lawyer,,,,,,,,,,,,6,,,3,,,1,,,,5,,4,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
100,192,TRUE,,,,,,,9,0,0,,,,80,100,100,,,,,,,,,,2,40,0,,,,,,,0,0,0,4,0,0,,,,,,,,,,,,,0,0,0,,31,Male,White / Caucasian,,College Graduate (4 year),Rung 4,,,overcharging the next customers,,calling her mom,,,,honking an angry message in Morse code,,,hiding the knife in someone else's bag,blaming it on the maid of honor,,,,,stealing his dogs for extra speed,,,,,,,,,,1,,4,,,,5,,,6,3,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
100,176,TRUE,,,,,,,1,4,1,,,,1,1,1,,,,,,,,,,85,99,89,,,,,,,100,100,99,41,22,19,,,,,,,,,,,,,1,1,1,,46,Female,White / Caucasian,,Some College,Rung 7,,,selling one of his kidneys,,lying that her house burnt down,,,,pulling over and calling 911,,,asking to check the knife,running away,,,,,stealing his dogs for extra speed,,,,,,,,,,4,,3,,,,6,,,1,2,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
100,117,TRUE,82,95,71,,,,77,75,28,,,,,,,,,,,,,100,100,100,85,100,87,,,,,,,0,0,0,,,,,,,,,,,,,,,,86,100,91,,35,Male,White / Caucasian,,College Graduate (4 year),Rung 5,taking out a loan,,paying the money from his own wallet,,,,,asking the parents if they know him,pulling over and calling 911,,,threatening security with the knife,,,,,,carrying her competitor on her sled,,,,,,,,4,,1,,,,,5,3,,,2,,,,,,6,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
100,184,TRUE,,,,52,83,54,,,,,,,,,,100,100,100,,,,,,,,,,25,12,5,,,,,,,,,,70,100,58,68,85,10,,,,78,80,54,,,,,35,Female,White / Caucasian,,College Graduate (4 year),Rung 5,,taking a public bus,,,,collecting wood to start a fire,,,,yelling in gibberish until she leaves,,,,moving into his father’s apartment,organizing a fishing crew,,locking up the store,,,,,,,,,,6,,,,4,,,,2,,,,1,3,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
