startDate,endDate,progress,duration,finished,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_text,education,SES
2021-11-22 11:08:41,2021-11-22 11:15:12,100,390,TRUE,Ask someone for help,hitch hike,Quit and run away,buy a membership,call mom,Wait it out,buy another ticket,Nothing,call police,give her a ride,Call the police,Throw the knife away.,call the taxi,take care of him,Comfort the people,find help,Stay until boss shows up,Keep going,,38,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 1 (Bottom Rung)
2021-11-22 11:11:00,2021-11-22 11:16:14,100,313,TRUE,borrow money,"call uber, tow truck",tell my boss,ask gym to use phone,"tell my teacher, call my mom",make a fire,Go without him,"talk to the mom, get her attention",call 911,"nope, say sorry",call 911,"whoops, ask to put in my check in",tell my sister ask if she wants me there or call the taxi first,keep him with me,"tell them the situation, ration food",help and don't stop helping,leave,stop and help them,,31,Female,Other,mixed,"Professional Degree (MD, JD, etc.)",Rung 5
2021-11-22 11:08:12,2021-11-22 11:16:55,100,522,TRUE,Sell whatever I can to make money.,Call a cab.,Go back through and make sure that it's actually missing.,Wait for the friend to show up.,Call my mom and have her bring it.,Stay in one place and find shelter.,See if you can buy a new ticket.,Go tell the family that someone is in their things.,Call the cops,Tell her I will take her as far as I am going.,Call the cops.,Tell the security that I have a knife,Freak out.,Make room for him at my apartment,Ration the supplies to last as long as they can.,Try to go up or down the mountain looking for service.,Try to call someone else to come in.,Call for help.,,44,Female,White / Caucasian,,High School or equivalent,Rung 4
2021-11-22 11:09:56,2021-11-22 11:17:05,100,428,TRUE,Borrow the money.,Call a friend to get the car and take you to the airport.,"Attempt to find the discrepancy, then be honest.",Ask staff to deliver the message.,Tell the teacher the truth and ask to call your mom.,Find and/or build shelter and fire.,Go with Ted to get his ticket.,Start a conversation with the person.,Call emergency services,apologize and tell her  no,Break the window and call emergency services.,Be honest and tell security.,track it down.,Move him in with me.,Ration out the food evenly.,Keep trying until you get Todd free.,Close the store and go to my appointment.,Stop and help the person.,,37,Female,White / Caucasian,,College Graduate (4 year),Rung 6
2021-11-22 11:10:25,2021-11-22 11:18:07,100,461,TRUE,id steal it,call a friend,pay it out of pocket,leave a message at the gym desk,tell the teacher the situation ,start a fire and hunt,sorry ted...,aske her her business,flag them down,tell her no,break the window,throw it away,run..id run,get a bigger place,call the coast guard,run to get help...or service,call him ,help the sledder ,,42,Male,White / Caucasian,,College Graduate (4 year),Rung 4
2021-11-22 11:07:09,2021-11-22 11:19:03,100,713,TRUE,Ask around to see if any family members would be able to help,"I would have no choice but to call a tow truck, then try and catch a cab to the airport","I would check the drawers again, feeling around, and search the floor in case any money fell or got stuck somewhere",I would ask the gym employees to pass the message along,I would talk to my teacher and explain the situation,"I would stay put, since I know that is usually the best idea, and would do my best to build some kind of shelter","It would be silly for all of us to miss the concert and waste our money, so I would tell tell to hurry back and get it, or else look around for a scalper",I would bring it up with the people around me and get their judgments,"I would ask any passengers in the car to call the police. If I was alone, I would call myself.","I would drive her, because an extra 20 miles isn't much of an issue",I would call the police,I would inform the nearest security person of my mistake,I would approach my sister and whisper into her ear the mistake that I made,I would do my best to move things around so that a second person could fit,I would instruct my crew to lock the food supplies somewhere secure until we could come up with a rationing plan,"I would help Todd get as comfortable as possible, then I would begin hiking out until I could get a cell signal",I would try and contact any other coworkers to see if they could come in and take over until the boss shows up,"I would have no choice but to stop, and while helping my competitor I would be coming up with ideas for how I might pull ahead and still win",,30,Male,White / Caucasian,,High School or equivalent,Rung 4
2021-11-22 11:11:25,2021-11-22 11:19:31,100,485,TRUE,"find extra income, start a gofundme in the mean time.","call to have car towed back to house, uber to airport.","let my boss know, investigate what happened.",renew membership,ask if I can turn it in late.,"get to a high point, figure out location from there, work way back.",Offer my ticket.,nothing,give distance and continue home.,decline,"call the police, ask them if i am within my rights to break the window to save the dog.",Put the knife in my luggage,call the taxi.,"spend time teaching him what he needs to know to aid himself, ask others to help.","ration the food, attend to health and safety of all passengers",travel until I find signal.,"Close the store, leave a note.",help them.,,30,Other,White / Caucasian,,Some College,Rung 3
2021-11-22 11:08:15,2021-11-22 11:19:47,100,692,TRUE,I would ask for money from someone.,I would call a taxi or friend to come pick me up after I have locked my car and secured my valuables.,I would find the missing money before my shift is over.,I would borrow a phone to call my friend.,I would explain myself to the teacher.,I would find a way out of the wilderness using my survival skills.,I would attend the concert without Ted.,"I would have to ignore the teen, because there is no crime being committed.",I would distance myself from the other vehicle to avoid a potential crash.,I would have to respectfully decline her request.,"I would go about my day as usual, because it is not my dog.",I would explain my situation to security in order to avoid conflict.,I would immediately call the taxi service to recover the ring.,I would find my father some additional help using other outside sources.,I would attempt to repair the engine.,I would find some ropes to tie around Todd in order to pull him out.,I will not work free overtime. I will show up at my court appointment after I clock out.,"I would continue to race, because there is a chance I could be blamed for the crash.",,33,Male,,,,
2021-11-22 11:08:11,2021-11-22 11:19:50,100,699,TRUE,I would go on gofundme.com and ask for assitance,I would call AAA,I would inform my boss that a big amount is missing,I would just renew my membership,I would tell the teacher and have her call my mom to bring if or see if I can bring it in the next day,Find a way to make shelter and hold out until help arrives,Buy another ticket at the box office ,I would ignore the situation,Drive down another road to get home,Give her a ride,Call the cops,I would tell the security I brought my knife and am a chef and see what options they have for me,Inform my sister and try and get a hold of the taxi company and let them know,Ask for government assitance,I would ration the food out and hope help arrives shortly,I would climb down and try to find help,I would call another worker to see if they can fill in,I would continue the race and win and then tell people he needs help,,32,Male,White / Caucasian,,Some College,Rung 1 (Bottom Rung)
2021-11-22 11:07:57,2021-11-22 11:20:27,100,750,TRUE,apply for grants and get a second job.,call a tow truck and reschedule flight.,Put the money in out of my pocket.  Try to figure out what went wrong.,wait outside till he arrives.,Explain it to teacher and hope Mom can get the paper to you before end of day.,"find some water and leaves,  sleep with leaves and stay close to the water.",go home with ted and come back with his ticket.,Ask him or go to water and ask the family,stay behind them and call cops,give her money for a cab,call cops.  brake window.,explain it to security.  And hope they only take the knife and not press charges.,call taxi company get car back.  use something else if needed to complete the ceremony.,move in with him.,limit food and remain calm and tell the people what is going on,cover him from the sun.  walk till I have cell service and call for help,You have to wait till he gets there.  Call lawyer and ask for an extension.  ,YOu help them.  Nothing is more important than life.,,50,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 6
2021-11-22 11:06:46,2021-11-22 11:20:31,100,825,TRUE,borrow to get the medicine,call a towing company and police and let them know. call an uber to get to the airport,recount the money in case their is a mistake,try to ask someone going in to let them know or tell them the situation and see if they will let you in,tell your teacher and ask if you can bring it tomorrow,ration food and water to each of us,leave with Ted to go get his ticket then go back together,I'd say loudly is that your belongings?,stay far behind him in case of an accident and call the police,I'd say sorry I'm not going that far,call the police,let security know,call the taxi company about the ring and tell my sister immediatly,get a bigger place or move in with him,explain to them to stay calm and help is coming.  then make sure the food is rationed approprioptly,keep trying to get him unstuck and wander off a little to try and find a signal or help,try and call another employee in to relive me,stop and help  them and call the police or medics on scene,,45,Female,White / Caucasian,,High School or equivalent,Rung 5
2021-11-22 11:11:34,2021-11-22 11:20:58,100,564,TRUE,Borrow money from a friend/family,reschedule flight,Put my own money in it,Leave and tell them later,Explain my situation to the teacher,Try to find shelter,Drive him home quickly to get it,Approach him and ask why,Call police,Say that i can't help,Call animal services,Get out of line and get rid of it,Call the taxi driver,Live with roommate and leave him to have my apt,Ration food and tell people to keep calm,Go try to find water then come back to help,Leave for court and talk to the boss later,Help them,,40,Female,White / Caucasian,,Master's Degree (MS),Rung 6
2021-11-22 11:10:19,2021-11-22 11:21:29,100,670,TRUE,"Try to find every way possible to get a discount on this medication using a site like GoodRX, etc. Otherwise I'll have to borrow the money from somebody and pay them back.","Call a tow service and also call an Uber; I'll have to take care of my car when I get back, but I need to get to this trip!",Input $50.75 worth of purchases that didn't actually happen so the register is balanced,Ask the receptionist at the gym if I can use the phone to call my friend; barring that I'd leave a note for them,"Tell the teacher that my homework is at my house, because my mom took it out of my backpack and I will turn it in tomorrow",Ration the food and water and try to build a shelter,Buy Ted another ticket and have him reimburse me later,Keep an eye on the teenager just to make sure what it is going on; I'm not going to confront somebody who may indeed be part of the family,Avoid the driver (slowing down to keep my distance) and make note of their license plate to potentially notify the authorities,"Tell her sorry, but I cannot take her there",Break the window so that the dog can get air,Immediately tell security that I have the knife,Call the taxi company and describe the situation to them so they can contact the driver and have the ring brought back,Move him in anyway! Not much I can do about it,Ration supplies to make them last; try to keep the passengers entertained in the meantime,Try to stay relatively close but see if I can walk around and find service.,"Put up a ""sorry, we're closed!"" sign and close the store down. I have to do what I have to do.","Stop and try to assist the competitor, trying to flag down people for help",,34,Male,White / Caucasian,,Some College,Rung 2
2021-11-22 11:09:59,2021-11-22 11:21:49,100,710,TRUE,borrow money,catch a different flight,I would try to figure out what happened to the money,wait for friend to show or let the front desk charge the card on file,just go to class and ask if you can turn it in tomorrow ,I would just be freaking out,ask if someone is home so they can bring it to him,i dont get involved ,I would try to put a lot of distance between us and call 911,never pick up hitchhikers. tell her sorry i cant drive her.,call security ,Let security know my mistake ,call the taxi company,get him help from family members,i need to be direct and say we need to perserve food,drink water and get help,call another coworker to cover,keep going because honeslty i need to go get help because im no help to him,,29,Female,Hispanic / Latino,,College Graduate (4 year),Rung 3
2021-11-22 11:09:00,2021-11-22 11:22:19,100,799,TRUE,Reach out to relatives for help,Call highway patrol or my car insurance to get help getting my car moving again,"Call whoever was working the register to ask if they know anything, if not I'd call my boss to see what the procedure is",Go up to the gym desk and renew my membership,Tell the teacher what happened and ask if you can call your mom to bring the assignment in or ask if I can turn it in tomorrow.,"Find the best possible place to stay, and don't move from that area.",See if we can find a ticket scalper and pitch in to help Ted buy a new ticket,"I may try to secretly get a photo of them in case it's needed for evidence later, but otherwise do nothing.","Beep, flash lights, pull off to the shoulder to let them by. Call the police.","Politely decline. I don't let strangers in my car for any reason, it's nothing personal.",Call the police,"Let security know and ask if you can check the bag. If not, I'd return to my car and leave the knife there. I'd have to find a new knife to work with in Chigaco.","Quietly see if you can borrow someone else's ring and apologize profusely to the bride and groom later. Once the ceremony is over, call the taxi company.",Reach out to relatives for help,Call or radio my boss for advice,Leave and look for somewhere with service or find help.,Call his boss. Call another employee to see if they can take over.,Stop and get help for the competitor,,31,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 4
2021-11-22 11:13:53,2021-11-22 11:23:03,100,549,TRUE,Sell feet pictures.,Decide I probably shouldn't hunt animals like that anyways and go home.,Put 50.75 of my own money in.,"Buy a new membership, since I am likely to anyways.",Turn nothing in who cares?,"Check which direction the moss on the trees is facing, as it usually faces north.",Have someone bring it to him if possible,Approach and ask.,Get as far away from them as possible and call the police ,No I don't give rides to strangers sorry,Bust the window out and call someone who can take care of him properly.,I would show them my chef certification and explain those are for work,"Call the taxi hub and tell them whpo the driver was, what they looked like and exactly what the ring looked like.",Take care of him anways,I would start fishing,I leave for help.,"Stay, as much as it sucks it's my job.","Tend to them, no human beings life is worth less than any amount of money.",,30,Other,White / Caucasian,,Some College,Rung 1 (Bottom Rung)
2021-11-22 11:14:32,2021-11-22 11:23:12,100,519,TRUE,try to borrow the money,try and call an uber,count it again and pray,tell  them when they arrive,explain to teacher,call for rescue,see if ticket window has any records,go up and queitly ask them,drop way back turn off if you can and call polic,help the lady,call the police,give it to tsa,call the taxi company and hope they are honest,look for another apartment,ration suppiles to hol out,walk to were there is service,leave him a message saying you must leave and leave,help them call for help,,48,Female,White / Caucasian,,Some College,Rung 2
2021-11-22 11:08:08,2021-11-22 11:23:24,100,916,TRUE,"I would look for alternative generic versions and/or contact the expensive medication company to see if there is any help for those can't afford it, which is more common these days","Call a taxi for a ride to the airport, and call a tow truck to get the car to storage until I return from the safari.","Do my best to go back through tape to figure out where the mistake happened, then talk to management about it.","Have someone go find the friend, but in the meantime renew my membership so I can continue to play racquetball.",I would explain the situation to the teacher and ask to call my mother to bring the homework to my school,"Find the warmest place possible, ration food and try to build some sign to get noticed.","If it's not too expensive, buy an additional ticket and offer to pay for part of it so you can both attend",Ask the teenager if those are his belongings or suggest he move along.,"I'd continue to follow them until they reached their destination safely; if there was heavy traffic, I'd report their license plate to 911.","I would decline giving them a ride, but suggest Uber or a taxi; too unsafe to take a stranger",Call security immediately to make announcements in the mall and/or to rescue the dog,Step out of line and immediately report it before getting to the security scanner.,"Immediately call the taxi company, then find an alternative to use for the ceremony, so not to make things worse.",Take him in while continuing to look for a place to take care of him.,"Explain the situation to everyone, ration food and try to keep people occupied so not to worry.","Tell him to stay calm, then cover my head and skin as much as possible and go for help, whether a nearby roadway or back to the original departure point",I'd stay until the last minute in order to make it to court on time; lock up and leave a note if my boss still hasn't arrived.,Get them out of the snow and cold and call for help; continue with the race once help arrived,,54,Female,White / Caucasian,,College Graduate (4 year),Rung 6
2021-11-22 11:08:41,2021-11-22 11:23:29,100,888,TRUE,Charge it to credit card,Call AAA and get help.,Note the loss at the end of the shift.,Ask to borrow a phone to call him.,Call mom once I get to school and see if she can deliver it.,"If it's early in the day-trying to head in one direction to find a road. If it's late, try to make a shelter as best we can and start the next morning.",Give him my ticket and wait outside.,"""Hey. I don't think you're a part of that clan!""",Slow up and make sure I have room to stop if there is an accident.,Politely pass on offering a ride.,"Check to see if it's locked. If not, crack a window for the pooch.",Let TSA know and see if I can put in luggage.,Slip out and call the taxi company.,I'd move in with him.,Tell them the situation and ask them to keep calm. Prayers would help.,Try to find a signal elsewhere and call for help.,Call the court and explain my situation.,Stop to help the crashed driver.,,60,Male,White / Caucasian,,Doctoral Degree (PhD),Rung 4
2021-11-22 11:09:58,2021-11-22 11:23:37,100,818,TRUE,I would start a go fund account.,I would call a tow truck and have them tow the car and call a cab to take me to the airport,After counting the money again and again I would put the money in the register and hope for the best.,Have the friend paged and then let him know the problem.,Explain to the teacher what happened and hope she is understanding.,I would stay put and let the rescue crew find me.,I would offer to loan him money for a new ticket,I would do nothing.,I would call 911,Tell the person I have an appointment and can not give her a ride.,Call the police and then try to break the window to get to the dog.,I would immediately tell the security and explain why I had the knife.,Use another ring and try to find hers after the ceremony.,I would either move to a bigger apartment or move in with my father at his home.,I would ration out the food and hope for the best.,I would go to another spot where I can pick up service.,I would have no choice other than closing the store.,"Since there would be not much I could do to actually help, I would continue and the first person I seen I would have them go back and help this person.",,62,Female,White / Caucasian,,Some College,Rung 4
2021-11-22 11:11:01,2021-11-22 11:23:54,100,772,TRUE,I would either use my credit card or take out a personal loan from a friend or family member to buy it.,"I would call a close friend to see if they could either pick me up, or if they could get my car while I called a cab.",I would double count then document the discrepancy for the accountants to review.  I would not be afraid of losing my job because it was obviously a one off situation.,I'd talk to the front desk and see if they could contact the person to talk to them.,I would ask the teacher if I could call my parents to bring my homework to school so that I could pass it in.  Or else ask if I could bring in a note the next day from my parents.,"I would start by making a structure for warmth, then a fire, and then start some basic hunting and gathering to get food.  If its cold, there must be snow or some other type of water source to get water.",Buy Ted a ticket in a random section and then figure out a way to sneak him in to the seats that we have.,I would walk over to the person and see if they looked at me nervously.,Call the police and report the person so that no one gets harmed.,I'd ask her if she'd be ok with me dropping her off near my house which is 10 miles away from her destination and she could go from there.,I would go back into the mall and alert security so they could page someone or use methods to free the dog.,Tell security that I accidentally brought my chefs knife and showed my identification and ask if they could store it under the plane.,Text a friend and give them the information on the taxi and see if they could track down the cab ASAP.,I would ask my father if he would like me to move in with him and help him and for company.,"I would start taking inventory of all of the food, then would start a plan for rationing.",I would have no choice but to leave Todd and try to find help or try to get better reception on my cell phone.,I would then call the assistant manager or another employee to come take over my shift so I could get to my appointment.,I would check to see what their injuries are.  I would then call either on the radio or on a cell phone to the race medics to come take a look.  I would stay with the person until help arrived.,,48,Female,White / Caucasian,,Some College,Rung 5
2021-11-22 11:14:48,2021-11-22 11:24:28,100,580,TRUE,Get a second job,Call a Uber ,Pay the money back,Pay the daily fee or wait for friend and explain the situation ,Tell the teacher what happened,"Stay put, make shelter and try to find water","See if the ticket office could look up his ticket. If not, I would go to the concert",Watch and see if he takes anything and walks away. If he does shout to the family,Call the cops,"Call my wife and tell her I am picking her up, keep her on the phone and we drop the woman off",Break the car window,Claim it and take the punishment ,Apologize and call the taxi company,Move into your fathers house ,"Try to find the nearest port and see if you can ride the current offshore, anchor up and tender people off for a bit",Keep trying to get it out,Leave and go to court,Stop and help,,37,Male,White / Caucasian,,Master's Degree (MS),Rung 4
2021-11-22 11:08:43,2021-11-22 11:25:02,100,978,TRUE,Try to find some work to do so I can pay for it.,Try to reschedule the flight and get the car towed home.,"Count the drawer again and be sure that the total is correct, also check for any credits that may have been issued.",Ask someone at the gym can you borrow their phone and or check with the gym owner to see if you can use theirs.,Call my mom and see if she can bring it to the school before the day ends.,Try to stay close to where I am so I don't go further into the wilderness.  Take any extra clothes and socks we may have and use them to keep warm.,Go and watch the concert and let him go home and get the ticket.,"I might ask, is that your family who went in the water, you look familiar.",Start pulling over to the side of the road until the driver passes and then call 911.,"I would lie and tell her that unfortunately, I am not going in that direction.","I am going to keep on walking, there is not way I can find out who owns the car.",Tell security you are a chef and forgot to take it out before they check you.,"Try to get in touch with the taxi service to see if it's still there, meanwhile try to borrow a ring to get through the service.","Move him into an assisted living apartment, hopefully, he has low income, otherwise I'm not so sure.",Start rationing portions and let the crew know help is on the way but it could take a couple of days.,Keep trying to get his arm out until I do.,I may try to call someone to cover the shift until the boss arrives.,"Try to do CPR, call for help and get on with the race.",,51,Female,Black / African American,,Some College,Rung 3
2021-11-22 11:09:33,2021-11-22 11:25:03,100,929,TRUE,Call my family and friends for help,Call a friend to come pcik the car and i catch a taxi to the airport,I will bear the cost and replace the money,I will just go back to work,I will go back home to try to look for it or ask for a retake,Try call for help,Try buy another ticket at the door,I will try and get one of the members of the family to come and confirm ,Call 911 to come and check out the guy,I will give her a ride,Break the window to try and get the dog to get some air,I will explain to them my role and also leave the knife behind,Get someone's ring and use it for formality then sort the ring issue later,Ask for help for me to be able to get a bigger space,I will try to advise the team to manage with what we have till we get rescue,I will try hold him till we get help,I will go for the appointment,I will go check on my competitor,,26,Female,Black / African American,,Some College,Rung 7
2021-11-22 11:09:11,2021-11-22 11:25:26,100,975,TRUE,I would contact friends and family to find the needed funds. ,I would call a friend to come sit with my car and an Uber to take me to the airport so I don't miss my flight. ,I would tripple check the funds. If the till was still short I would add the money from my own cash. ,I would renew the membership and enter the gym to play with the friend who is waiting for me. ,Explain to the teacher that I did the assignment but left it at home. I would ask if my mom could send a screen shot of it to me. ,Use the energy I have now to collect fire wood and scout the area for edibles. Build a make shift camp and stay in place. ,I would go to the concert and record it for Ted so he can watch it if he doesn't make it back in time. ,I would ask the teen if his family was having a good day at the beach and then for their name. Hoping to get them to leave if they don't belong. ,"I would flash my lights at the car to see if that gets them to pay more attention. If not, I would continue to follow them to see if they arrived somewhere safely. ",I would giver her some money for a cab or Uber ride to her destination. ,I would find something to break the car window. I would try to stop other people so they can verify why I am vandalizing the car.  ,I would provide the knife to security for disposal and continue with my flight. ,I would borrow a ring from comeone temporarily. Then call the cab company as soon as I was able to let them know the situation. ,I would move in with himn if there was room. If not I would move him in with me until we could locate a more comfortable place for us to live. ,I would do an inventory of all the supplies. Then make a quick accounting of the amount available per passenger. I would explain the situation and what they are allotted to them. ,I would make Todd as comfortable as possible. Then I would scout about for an area where I could get a cell signal to call for help. ,I would call a coworker to come cover the store. ,I woul sttempt to help the competitor and stay with them until medical personnel arrived. ,,52,Female,White / Caucasian,,Some College,Rung 3
2021-11-22 11:11:42,2021-11-22 11:25:30,100,827,TRUE,"I would find a way to increase my income, however i could. I would sell anything i had of value and look for side work. ","Hopefully come to my senses and not participate in such a cruel activity. But i would be very worried, i might try to call the airport and alert them and see what my options were for a later flight. ",I would recount everything a few times and then contact upper management to ask them what to do in the situation. ,"I would ask the front desk if they could call him, or i would wait until he arrived to let him know. ","I would probably cry, and then tell my teacher what happened or go to the office and ask to call her and talk to my teacher. ","Get to a clearing that is viable from up top, light a fire to send a signal, do anything i can think of to stay warm.","I would feel bad for Ted but would still go in, maybe help buy a replacement ticket if available. ","I would confront the teenager, if he seemed untrustworthy i would go tell the family","I would call the police on a hands free device and follow from a safe distance, to make sure no one got hurt. ","I would offer to call her a taxi or give a few dollars for bus fare if i had it, i would not give the woman a ride. ",I break the window and get that dog out of the car and get it water immediately. I would contact police before or as I was breaking the window. ,Tell the security officer immediately and ask him to remove it and throw it away.,"I would panic, and then go tell her what happened and call the Taxi service. ",Move in with him where he is living. ,"I would make a plan to ration, and i would radio for help to get a supply helicopter to bring more. ",I would get myself to safety and call 911 as soon as possible.,I would write a note and close up the store and make it to my appointment on time. ,"I would pull over immediately and get them whatever help or medical attention I could, and make sure the dogs were ok. I would get them to safety. ",,29,Female,White / Caucasian,,High School or equivalent,Rung 4
2021-11-22 11:12:17,2021-11-22 11:25:49,100,812,TRUE,I would ask the bank for a loan.,I would call a taxi.,I would add the missing money from my own money.,I would ask if I could go in quickly or if somebody could pass a message to my friend.,I would explain my teacher what happened and I would reach out to my mother.,"I would hold on until the rescue crew shows up, strictly rationing supplies.  ",I would try to buy a new ticket for him.,I would ask the teenager what he/she is doing.,I would call the police.,I would give her a ride.,I would call 911.,"I would leave the line and dispose of the knife. Or, if it's too late to leave the line, I would admit immediately the mistake.",I would explain to my sister what happened and call the taxi service I used.,I would try to find him a temporary accommodation with a family friend until I can sort out the situation.,I would come up with a plan that structures access and distribution to food supplies.,I would try to reach an area with service and call 911 again.,I would call a co-worker for help.,I would stop to help.,,42,Female,White / Caucasian,,College Graduate (4 year),Rung 6
2021-11-22 11:07:01,2021-11-22 11:26:16,100,1155,TRUE,I would first reach out to family and friends to see if they can help with the situation. ,"Call the emergency roadside assistance and explain the situation. If they are going to be unable to figure it out in time, then call the airport and see if I can reschedule my flight. ",Recount the money and make sure that the total is incorrect. If it is still incorrect then call my supervisor and let them know the issue and see how they want to proceed. ,Ask the people at the gym if they can inform your friend. See if I can renew my membership whilst I am there. ,Explain what happened to my teacher. ,"Try and stay calm, do not venture too far from the spot to avoid getting even more lost. Try to limit food and water consumption as much as possible. See if there is a water source nearby and try and find shelter to stay warm.",See if Ted can buy a ticket at the door. If not then see if someone can bring the ticket to the venue so that Ted can at least catch some of the concert. ,I would likely do nothing in this situation as I can not ascertain if the teenager is part of the family or not. ,Drive carefully and try and get around them to minimize risk of driving into them or them driving into me. ,I would say that I was sorry but I am unable to give the woman a ride. ,Go to the mall security/help desk and inform them about the situation in the hope that they can alert the person who left their dog in the car. ,Explain to security that I am a Chef and mistakenly left one of my knives in my bag. ,Try and quietly explain the situation to the officiant/couple. ,I would look into help/assistance programs for taking care of the elderly long term. In the short term I would take on the burden of care. ,"Tell everyone to remain calm, inform people of the situation and that there might be a week wait for rescue. Let them know that food will be rationed out during this period so that everyone can survive the wait. Inform the crew of the plans to ration said food. ",I would tell Todd to remain calm and wait here whilst I go to find a place where I can get a signal or find help. ,I would leave a note for my boss and close up the store and go to my court appointment as scheduled.,"Check to see if anyone else has called/alerted help, if not then I would stop and try and get help for the individual. ",,30,Female,Other,Mixed - White/Black,College Graduate (4 year),Rung 6
2021-11-22 11:13:37,2021-11-22 11:26:25,100,767,TRUE,"I would ask someone close to me for a loan, then find an extra job or apply for a loan to pay them back.","I would call a tow truck to get my car home, then I would call a ride-sharing service to take me to the airport.",I would put my own money into the register.,"I would wait there until my friend got there and depending on the price, I may renew the membership.",I would tell my teacher the situation and ask if I can go to the office to call my mom to bring it.,I would have us stay in one spot and try to keep each other warm.,I would pitch the idea that we all chip in to buy another ticket for him there.,"I would say his family looks like a nice group of people, and see what his response is. ",I would call 911.,I would say no and apologize and say I'm not heading in that direction. I could give her some money to find a different ride over there.,"I would try to see if any of the doors open and if not, then I would try to break one of the windows.",I would leave the line and get rid of the knife.e,I would call the taxi service immediately and see if I can track it down.,I would get loan and see if we could move somewhere bigger. I would ask if another family member could help.,I would try my best to explain the situation in a way that would not make them panic too much.,I would try to climb down the mountain and see if I could get a signal for my phone.,"I would try to call another employee to see if they can cover and if not, I'll lock up the store.",I would check on them and then try to call for some help/aid for them.,,28,Female,Asian / Pacific Islander,,Some College,Rung 4
2021-11-22 11:12:44,2021-11-22 11:26:27,100,822,TRUE,Ask family for financial help.,Get an Uber to the airport.,Put in my own money to balance it.,Wait for your friend and decide what to do from there.,I would explain to my teacher what happened.,Try to draw attention to yourself so the rescue crew can find you.,Buy his ticket for him.,Ask him what he's doing.,Drive past him.,Give her a ride.,Call security.,Explain the situation to TSA.,Use a replacement ring for now. Try to get the other ring later.,Ask other relatives for help.,Tell them to stay calm and the situation is under control.,Leave Todd to try to find help.,Lock up the store and go to my appointment.,I would stop and try to contact help.,,38,Male,Asian / Pacific Islander,,Master's Degree (MS),Rung 7
2021-11-22 11:15:04,2021-11-22 11:26:31,100,686,TRUE,I will steal the medication if I have to,Call for an uber ,Pay the restaurant and figure it out tomorrow ,Go back to the office and call my friend ,Let the teacher know what happened ,Try to signal the rescue crew,Nothing,Go and ask the family if they know the teen ,Call 911,Say no,Call 911,Let them know I accidently brought the knife,Go find the ring,Find a relative to assist ,Make a plan with all involved ,Go find a place with service to call 911,Continue to try and call my boss,Stop and render aid ,,37,Female,White / Caucasian,,Master's Degree (MS),Rung 8
2021-11-22 11:21:45,2021-11-22 11:27:17,100,331,TRUE,The expensive prescription on the recover.,The intersection is good and well apperance.,The doller is high on the budject.,"The office is the desk on the phone in my friend,","The credit is high  and good.,",The water take in few times.,"The like and ted on the returns,",The family take in water.,The road is the car of die ,The planned is city on the nerar.,The take is the pantinh,The knife is the my bag shiped.,The ring is calculate on the places.,The room is free on the person.,"The passanger is high rate and good,",The todd is rock and the slips.,The shift is the alert in boss time.,The mile is long but unconscious,,28,Male,Black / African American,,Master's Degree (MS),Rung 7
2021-11-22 11:11:39,2021-11-22 11:28:05,100,986,TRUE,I would exhaust as many avenues as possible to pay the prescription such as loans,I would first call an uber or ride service to arrive on time. Then call a towing or mechanic service to handle the car.,I would calmly approach my employees asking if they saw anything or know anything and then check on possible camera footage to get the full picture,I'd pay the membership fee and go into the gym,I'd explain to the teacher and have her call home to confirm this and get the assignment turned in.,I'd construct a temporary shelter and make smoke signals,I'd ask Ted if he wants me to go back with him to his house and if we miss the concert then oh well we can go do something else,I'd carefully monitor the situation and if nothing nefarious seems afoot then I'd leave it be. If not I'd alert the family somehow,I'd maintain a safe distance from the driver and monitor them more as well as get the license plate and vehicle info. Then pull over and report this to 911,I would most likely politely decline the ride and then offer instead to call the woman a ride service,I would first call the police and or fire department to explain the situation ,I'd alert the TSA agents that I'm a chef and accidentally brought this knife and ask them how to proceed.,Call the taxi company and then alert my sister of the situation. ,I would ask any other relatives if they could short term look after him until I find a place for the both of us.,Explain to passengers and crew the situation and that food and water should be carefully rationed,I think there'd be no choice but to tell Todd that amputation would be our only option,I'd wait until he arrives and ask for an explanation letter to give to the court. ,"I'd stop and check their pulse, alert some authorities on how to proceed or put him on the sled and have his dogs follow mine.",,24,Male,White / Caucasian,,Some College,Rung 7
